frequency,906750,912250,918250,923250,913250,905250,923750,912750,918750,926250,921250,905750,915250,904750,911250,916750,926750,921750,913750,925250,910750,916250,904250,917250,909750,903750,911750,906250,919750,927250,922250,907250,920750,909250,925750,920250,914750,908750,924750,915750,910250,903250,908250,919250,924250,914250,902750,907750,917750, ter
rssi,-37.7890625,-38.09803922,-40.96923077,-40.77777778,-38.3902439,-37.71428571,-40.6025641,-38,-40.97222222,-40.76506024,-40.98064516,-37.85981308,-38.73333333,-37.65185185,-38,-39.35833333,-40.82802548,-40.76510067,-38.59615385,-39.93283582,-38.8034188,-39.41666667,-37.67346939,-39.68067227,-38,-37.62745098,-38,-37.97979798,-40.98290598,-41,-40.86324786,-38,-40.82222222,-38,-40.52121212,-41,-38.8490566,-37.76576577,-40.11510791,-39.18699187,-38.08661417,-37.61538462,-37.88392857,-40.98347107,-40.9869281,-38.48181818,-37.59663866,-37.76785714,-41,-40.75806452
